CALLES,FECHA,HORA SOLAR,Tª SOMBRA,Tª SOL,TEMPERATURA,CIELO,COORDENADAS,LEYENDA,ORIENTACIÓN
Calle Periodista Nicolás Salas (peatonal),2023-29-09,13:24,"28,6","37,2","36,7°C",Despejado,"37°23'16.7""N 6°00'22.7""W",Calles de Nucleo Residencial Manuel Arellano,
Paseo Nuestra Señora de la O (senda),29/09/2023,13:51,"27,3","43,6","36,7°C",Despejado,"37°23'18.1""N 6°00'21.8""W",Calles de Nucleo Residencial La Pastora,
Calle Gracia de Triana (peatonal),29/09/2023,13:55,"28,3","38,8","36,7°C",Despejado,"37°23'20.3""N 6°00'27.4""W",Calles de Nucleo Residencial Virgen de la Esperanza,
Plaza de Chapina (secundaria),29/09/2023,13:59,"31,6","44,3","36,7°C",Despejado,"37°23'20.3""N 6°00'27.9""W",Calles de Nucleo Residencial Santa Ana,
Calle Doctores Lasso Simarro (peatonal),29/09/2023,14:01,"27,6","42,4","36,7°C",Despejado,"37°23'21.2""N 6°00'29.0""W",Barrios de Nucleo Residencial Santa María/Turruñuelo,
Calle Don Cecilio de Triana (peatonal),29/09/2023,14:03,"35,6","46,8","36,7°C",Despejado,"37°23'22.3""N 6°00'33.4""W",Calles de Nucleo Residencial Josefa Ramos de la Orden,
Calle Castilla (terciaria),29/09/2023,13:46,"36,6","43,2","36,7°C",Despejado,"37°23'11.3""N 6°00'17.0""W",,
Calle Antillano Campos,29/09/2023,13:40,27,"33,3","36,7°C",Despejado,"37°23'06.1""N 6°00'18.2""W",,
Callao,29/09/2023,13:43,"29,6","45,3","36,7°C",Despejado,"37°23'09.6""N 6°00'15.3""W",,
Plaza del Zurraque,29/09/2023,13:23,"38,4","48,1","36,7°C",Despejado,"37°22'59.8""N 6°00'29.9""W",,
Calle San Jacinto,29/09/2023,13:33,"29,8","43,5","36,7°C",Despejado,"37°22'58.6""N 6°00'22.7""W",,
Calle Vicente Flores Navarro,29/09/2023,13:27,"30,3","50,8","36,7°C",Despejado,"37°22'58.3""N 6°00'26.0""W",,
"""Plaza Alcalde José Hernández Díaz (peatonal)""",29/09/2023,13:31,"30,8","49,1","36,7°C",Despejado,"37°22'59.6""N 6°00'23.2""W",,
"""Calle Castilla (terciaria)""",,,,,"36,7°C",Despejado,,,
Ronda de los Tejares (terciaria),29/09/2023,14:14,31,"41,4","36,7°C",Despejado,"37°23'17.9""N 6°00'47.1""W",,
Calle Manuel Arellano,,,,,"36,7°C",Despejado,,,
Ronda de Triana (primaria),29/09/2023,14:09,"35,4","44,6","36,7°C",Despejado,"37°23'21.7""N 6°00'37.7""W",,
Calle Arnao de Flandes,29/09/2023,14:24,"27,6","49,2","36,7°C",Despejado,"37°23'03.0""N 6°00'44.1""W",,
"""Ronda de los Tejares (terciaria)""",29/09/2023,,,,"36,7°C",Despejado,,,
Calle Fray Tomás de Berlanga?,29/09/2023,14:28,"33,6","38,3","36,7°C",Despejado,"37°22'59.0""N 6°00'44.1""W",,
Avenida de Coria,29/09/2023,14:34,"33,2","48,3","36,7°C",Despejado,"37°22'52.1""N 6°00'44.0""W",,
Calle José Leon Sánz,29/09/2023,14:38,31,"36,4","36,7°C",Despejado,"37°22'50.6""N 6°00'47.4""W",,
Calle José León,29/09/2023,14:40,"26,8","52,2","36,7°C",Despejado,"37°22'50.3""N 6°00'47.0""W",,
Calle Giralda,29/09/2023,14:46,"29,8","41,8","36,7°C",Despejado,"37°22'49.8""N 6°00'37.0""W",,
Calle Regla León,29/09/2023,14:35,"27,9","52,7","36,7°C",Despejado,"37°22'50.9""N 6°00'44.7""W",,
Calle Clavel,,,,,"36,7°C",Despejado,,,
Calle Nuestra Señora de la Salud,29/09/2023,14:49,28,"45,1","36,7°C",Despejado,"37°22'48.6""N 6°00'37.3""W",,
Plaza San Martín de Porres (primaria),29/09/2023,14:52,"31,5","52,3","36,7°C",Despejado,"37°22'51.0""N 6°00'32.4""W",,
Calle Maestro Arrieta,,,,,,Despejado,,,
Avenida Santa Cecilia (terciaria),,,,,,Despejado,,,
Calle Sor Milagros,,,,,,Despejado,,,
Calle San Vicente de Paúl,,,,,,Despejado,,,
Calle Ignacio Gómez Millán!,,,,,,Despejado,,,
Plaza de Montepirolo (peatonal),30/09/2023,14:13,"36,9","52,1","36,2°C",Despejado,"37°23'02.1""N 6°00'26.8""W",,
Calle Antonio García Corona,30/09/2023,14:15,"39,8","51,1","36,2°C",Despejado,"37°23'03.0""N 6°00'25.1""W",,
Calle Aceituneras,30/09/2023,14:16,"35,8",44,"36,2°C",Despejado,"37°23'04.2""N 6°00'25.1""W",,
Calle Pages del Corro (secundaria),30/09/2023,14:20,"35,8","56,3","36,2°C",Despejado,"37°23'06.8""N 6°00'23.6""W",,
Calle Nuestro Padre Jesús Nazareno (peatonal),30/09/2023,14:21,"31,4","42,8","36,2°C",Despejado,"37°23'08.6""N 6°00'23.9""W",,
Calle Alfarería,30/09/2023,14:25,"31,9","53,3","36,2°C",Despejado,"37°23'10.9""N 6°00'21.4""W",,
Calle Clara de Jesús Montero (secundaria)?,30/09/2023,14:28,"33,3","41,7","36,2°C",Despejado,"37°23'13.2""N 6°00'27.9""W",,
Calle Procurador,30/09/2023,14:27,33,"50,1","36,2°C",Despejado,"37°23'13.5""N 6°00'26.4""W",,
Plaza Virgen de la Amargura,30/09/2023,14:33,"41,8","51,9","36,2°C",Despejado,"37°23'16.5""N 6°00'33.9""W",,
Calle de Manuel Vigil-Escalera Díaz,30/09/2023,,"29,2","38,7","36,2°C",Despejado,"37°23'17.7""N 6°00'35.3""W",,
Calle Tejares,30/09/2023,14:39,"27,2","44,5","36,2°C",Despejado,"37°23'14.4""N 6°00'37.0""W",,
Calle Niculoso Pisano?,29/09/2023,14:18,"30,8","46,2","36,7°C",Despejado,"37°23'14.3""N 6°00'47.5""W",,
Calle Manuel Macías Mínguez?,30/09/2023,,,,"36,2°C",Despejado,,,
Calle Termancia,30/09/2023,14:40,"27,2","49,8","36,2°C",Despejado,"37°23'13.4""N 6°00'38.0""W",,
"""Calle Manuel Arellano""",30/09/2023,14:43,"31,1","46,7","36,2°C",Despejado,"37°23'08.8""N 6°00'41.1""W",,
