name,ID,2023-09-29.13,2023-09-29.14,2023-09-29.15,2023-09-30.13,2023-09-30.14,2023-09-30.15,2023-10-01.13,2023-10-01.14,2023-10-01.15
Avenida Blas Infante,1,65.32,67.62,65.14,65.05,67.26,64.73,64.74,66.9,64.43
Avenida Carlos III,2,,,,,,,,,
Avenida Expo´92,3,67.39,71.74,70.19,66.98,71.41,69.76,66.67,71,69.13
Avenida República Argentina,4,68.22,73.72,74.48,67.87,73.09,74.04,67.51,72.67,73.54
Avenida Santa Cecilia,5,55.33,35.88,19.08,54.7,34.34,17.14,54.19,33.74,16.27
Avenida de Coria,6,56.12,61.15,60.09,55.24,60.48,59.53,54.52,59.43,58.7
Avenida del Cristo de la Expiración,7,66,70.81,71.35,64.34,70.39,70.9,63.94,70.02,70.52
Avenida Álvar Núñez,8,12.84,18.91,28.34,12.68,18.53,27.87,12.46,18.18,27.26
Calle Aceituneras,9,12.95,12.6,14.2,12.86,12.55,14.11,12.14,12.46,13.42
Calle Adolfo Cuéllar,10,,,,,,,,,
Calle Adriano,11,,,,,,,,,
Calle Alarcón,12,14.17,15.17,15.27,14.21,15.23,15.27,14.23,14.96,15.06
Calle Albareda,13,,,,,,,,,
Calle Albuera,14,,,,,,,,,
Calle Alfarería,15,45.88,28.58,16.72,45.13,27.29,16.39,44.55,26.35,15.96
Calle Almansa,16,,,,,,,,,
Calle Alvarado,17,45.09,49.7,37.31,44.85,49.42,35.36,44.59,49.15,34.96
Calle Antillano Campos,18,11.93,12.28,20.59,11.87,12.26,20.36,11.84,12.12,19.77
Calle Antonia Díaz,19,,,,,,,,,
Calle Antonio García Corona,20,63.41,37.37,12.4,63.16,30.84,12.32,62.72,27.58,12.26
Calle Antonio Machado,21,55.63,18.99,15.79,54.84,18.44,15.66,54.56,18.09,15.57
Calle Antonio Rodríguez Zeppelin,22,34.69,41.93,43,34.36,41.71,42.55,34.36,41.12,42.01
Calle Antón de la Cerda,23,,,,,,,,,
Calle Aracena,24,62.61,63.68,44.1,61.76,63.32,42.9,60.7,63,41.12
Calle Arcipreste de Hita,25,6.76,7.42,71.45,6.74,7.42,71.04,6.71,7.41,70.58
Calle Arcos,26,73.5,77.5,75.92,73.17,77,75.42,72.92,76.67,74.92
Calle Arcángel San Gabriel,27,59.98,65.26,14.42,59.69,64.53,14.23,59.37,63.8,13.94
Calle Arcángel San Miguel,28,61.1,45.63,36.77,59.05,45.19,36.15,57.02,44.41,35.57
Calle Arcángel San Rafaél,29,69.11,67.36,23.61,68.63,64.93,23.11,67.89,60.49,22.58
Calle Ardilla,30,16.34,35.71,45.22,16.08,34.68,44.66,15.79,33.61,44.05
