osm_id,name,access,addr:city,alt_name,amenity,area,area:highway,barrier,bicycle,bicycle_road,brand,brand:wikidata,brand:wikipedia,bridge,bridge:movable,bridge:name,bridge:structure,building,building:colour,building:levels,bus,busway,check_date:cycleway:surface,check_date:surface,colonnade:right,contact:facebook,conveying,covered,created_by,crossing,crossing:markings,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway:right:oneway,cycleway:surface,cycleway:width,destination,destination:lanes,destination:ref,destination:ref:lanes,destination:to,emergency,end_date,fee,fixme,floating,foot,footway,footway:surface,goods,handrail,handrail:center,handrail:left,handrail:right,height,hgv,highway,horse,image,image_1,incline,indoor,int_ref,junction,junction:ref,landuse,lane_markings,lanes,lanes:backward,lanes:both_ways,lanes:bus,lanes:forward,lanes:psv:backward,lanes:psv:forward,layer,leisure,level,lit,loc_name,long_name,man_made,mapillary,mapillary_1,material,maxheight,maxspeed,maxspeed:type,maxweight,maxweight:signed,maxwidth,min_height,mooring,motor_vehicle,motorcar,motorroad,mtb,name:1200-1897,name:1897-1931,name:1931-1936,name:1936-1980,name:1968-2000,name:es,name:etymology,name:etymology:wikidata,name:etymology:wikipedia,name:ko,nat_ref,natural,noexit,noname,note,old_name,old_ref,oneway,oneway:bicycle,oneway:psv,opening_hours,parking:both,parking:both:orientation,parking:both:restriction,parking:left:orientation,parking:right,parking:right:orientation,paving_stones:length,phone,place,playground:theme,psv,ramp,ramp:wheelchair,ref,roof:levels,segregated,service,shelter,shop,shoulder,sidewalk,sidewalk:both:width,sidewalk:left:width,sidewalk:right:width,smoothness,source,source:date,source:height,source:highway,source:maxspeed,source:name,source:width,sport,start_date,step_count,surface,surface:note,tactile_paving,tourism,tower:type,tracktype,traffic_calming,tunnel,turn,turn:lanes,url,vehicle,water,website,wheelchair,width,wikidata,wikimedia_commons,wikipedia
"18978173",Calle Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2807,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"1.20",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"18978227",Calle Carlos Cañal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,"1",,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,Q2939316,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"18978590",Calle Reyes Católicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"18978883",Calle Moratín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.1","20",,,,"1.9",,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"0.60",,,,,,,,sign,,,,,,sett,,,,,,,,,,,,,,,,,,
"18979106",Calle Albareda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,"1",,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"19124158",Calle Marqués de Paradas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"19124180",Calle Julio César,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"19124184",Calle Albuera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"1.30",,,,,,,,,,,,,,cobblestone,,,,,,,,,,,,,,,,,,
"19124188",Calle Otumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,
"19124189",Calle Mateo Alemán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q316616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,
"19124191",Calle Cristo del Calvario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"1.20",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"19124193",Calle López de Arenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"1.30",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"19124195",Calle Pastor y Landero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"19124197",Calle Galera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,sett,,,,,,,,,,,,,,,"3",,,
